name;hbox;hmask;lr;epochs;fixed;AP_box;AP_mask
last_hbox128_h128_lr0.005_e20.ckpt;128;128;0.005;20;FALSE;0.34125;0.297102
last_hbox32_h32_lr0.001_e20.ckpt;32;32;0.001;20;FALSE;0.321462;0.284137
last_hbox128_h128_lr0.001_e20.ckpt;128;128;0.001;20;FALSE;0.306258;0.27385
last_hbox512_h128_lr0.001_e20.ckpt;512;128;0.001;20;FALSE;0.306222;0.273987
last_hbox256_h256_lr0.001_e20.ckpt;256;256;0.001;20;FALSE;0.305707;0.274321
last_hbox128_h128_lr0.0005_e30.ckpt;128;128;0.005;30;FALSE;0.287855;0.257777
last_hbox128_h128_lr0.005_e20_fixed.ckpt;128;128;0.005;20;TRUE;0.360583;0.317844
last_hbox512_h128_lr0.001_e20_fixed.ckpt;512;128;0.001;20;TRUE;0.306663;0.275425
last_hbox128_h128_lr0.001_e20_fixed.ckpt;128;128;0.001;20;TRUE;0.316424;0.284999
last_hbox32_h32_lr0.001_e20_fixed.ckpt;32;32;0.001;20;TRUE;0.335913;0.291584
last_hbox256_h256_lr0.001_e20_fixed.ckpt;256;256;0.001;20;TRUE;0.315024;0.284531
last_hbox128_h128_lr0.0005_e30_fixed.ckpt;128;128;0.005;30;TRUE;0.295522;0.26383
